variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,country_code
SL34,Kenya,Washed / Wet,2013,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,0.12,404
Caturra,Ethiopia,Washed / Wet,2010,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.1,231
Other,United States,Washed / Wet,2014,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,0.0,840
Caturra,Thailand,Washed / Wet,2012,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,0.1,764
Yellow Bourbon,Brazil,Washed / Wet,2010,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,0.08,076
Yellow Bourbon,Brazil,Washed / Wet,2010,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,0.01,076
SL28,Kenya,Natural / Dry,2014,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,0.11,404
Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,0.11,076
Caturra,Uganda,Semi-washed / Semi-pulped,2014,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,0.0,800
Caturra,Colombia,Washed / Wet,2013,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.12,170
SL28,Kenya,Washed / Wet,2013,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,0.11,404
Other,Uganda,Washed / Wet,2012,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,0.1,800
Caturra,Ethiopia,Washed / Wet,2010,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,0.01,231
Bourbon,Guatemala,Washed / Wet,2016,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,0.1,320
SL14,Uganda,Natural / Dry,2013,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,0.12,800
Caturra,Colombia,Washed / Wet,2013,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,0.0,170
Gesha,Panama,Washed / Wet,2017,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,0.08,591
Caturra,Ethiopia,Washed / Wet,2014,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,0.1,231
Bourbon,Guatemala,Washed / Wet,2012,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,0.12,320
Catuai,Guatemala,Washed / Wet,2012,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,0.1,320
Caturra,Ethiopia,Natural / Dry,2017,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,0.09,231
Caturra,Peru,Washed / Wet,2013,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,0.1,604
Caturra,Papua New Guinea,Washed / Wet,2012,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,0.12,598
Bourbon,El Salvador,Washed / Wet,2013,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,0.1,222
Bourbon,El Salvador,Semi-washed / Semi-pulped,2012,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,0.11,222
Caturra,Panama,Natural / Dry,2014,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,0.09,591
SL28,Kenya,Natural / Dry,2014,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,0.1,404
Other,Ethiopia,Natural / Dry,2015,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,0.12,231
SL14,Uganda,Washed / Wet,2013,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,0.12,800
Bourbon,Guatemala,Washed / Wet,2013,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,0.11,320
Caturra,Ethiopia,Washed / Wet,2015,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,0.1,231
SL14,Uganda,Washed / Wet,2013,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,0.12,800
Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,0.11,076
Caturra,El Salvador,Washed / Wet,2010,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,0.01,222
Catimor,China,Natural / Dry,2015,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,0.1,156
Pacamara,Guatemala,Natural / Dry,2014,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,0.11,320
Caturra,Costa Rica,Washed / Wet,2014,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,0.0,188
Caturra,Costa Rica,Washed / Wet,2014,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,0.1,188
SL34,Kenya,Washed / Wet,2012,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,0.0,404
SL34,Kenya,Washed / Wet,2012,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,0.0,404
Caturra,Ethiopia,Washed / Wet,2010,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,0.05,231
Typica,Ethiopia,Washed / Wet,2010,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,0.1,231
Bourbon,Guatemala,Washed / Wet,2016,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,0.1,320
Caturra,Colombia,Washed / Wet,2015,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,0.11,170
Caturra,Colombia,Natural / Dry,2014,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,0.12,170
Sumatra Lintong,Indonesia,Semi-washed / Semi-pulped,2012,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,0.11,360
Caturra,Guatemala,Washed / Wet,2012,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,0.0,320
Other,Ethiopia,Natural / Dry,2016,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,0.11,231
Caturra,Colombia,Natural / Dry,2015,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,0.0,170
Caturra,Ethiopia,Natural / Dry,2014,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,0.1,231
Caturra,Colombia,Natural / Dry,2012,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,0.11,170
Caturra,Ethiopia,Washed / Wet,2010,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,0.0,231
SL14,Uganda,Washed / Wet,2016,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,0.11,800
Caturra,Colombia,Washed / Wet,2016,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,0.0,170
Catuai,Costa Rica,Washed / Wet,2016,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,0.12,188
Typica,Mexico,Washed / Wet,2015,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,0.09,484
Caturra,Kenya,Washed / Wet,2015,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,0.11,404
SL34,Kenya,Washed / Wet,2012,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,0.0,404
Mundo Novo,Brazil,Natural / Dry,2012,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,0.12,076
Pacamara,Mexico,Washed / Wet,2011,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,0.0,484
Caturra,Guatemala,Washed / Wet,2010,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,0.04,320
Caturra,Colombia,Washed / Wet,2016,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,0.0,170
Caturra,Colombia,Washed / Wet,2015,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,0.12,170
Caturra,Colombia,Washed / Wet,2012,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,0.11,170
Typica,Mexico,Semi-washed / Semi-pulped,2012,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,0.11,484
Bourbon,Brazil,Natural / Dry,2011,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,0.11,076
Catuai,Brazil,Natural / Dry,2011,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,0.12,076
Caturra,Kenya,Washed / Wet,2010,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,0.06,404
SL14,Uganda,Natural / Dry,2013,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,0.12,800
Caturra,Ethiopia,Washed / Wet,2010,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,0.1,231
Caturra,Ethiopia,Washed / Wet,2010,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,0.1,231
Caturra,Thailand,Pulped natural / honey,2015,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,0.12,764
SL34,Kenya,Washed / Wet,2014,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,0.13,404
Catuai,Honduras,Washed / Wet,2014,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,0.11,340
Caturra,El Salvador,Washed / Wet,2011,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,0.15,222
Caturra,Nicaragua,Washed / Wet,2010,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,0.18,558
Bourbon,El Salvador,Washed / Wet,2016,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,0.0,222
Java,Indonesia,Washed / Wet,2016,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,0.12,360
Mundo Novo,Japan,Pulped natural / honey,2012,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,0.12,392
Catuai,Costa Rica,Washed / Wet,2015,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,0.1,188
Bourbon,Guatemala,Washed / Wet,2015,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,0.1,320
Caturra,Costa Rica,Washed / Wet,2014,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,0.12,188
Ethiopian Yirgacheffe,Ethiopia,Washed / Wet,2014,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,0.1,231
Other,Costa Rica,Other,2014,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,0.08,188
Catuai,Costa Rica,Washed / Wet,2014,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,0.11,188
Caturra,Costa Rica,Washed / Wet,2012,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,0.0,188
Caturra,Colombia,Washed / Wet,2013,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,0.0,170
SL28,Kenya,Washed / Wet,2012,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,0.11,404
Bourbon,Guatemala,Washed / Wet,2012,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,0.11,320
Bourbon,Guatemala,Washed / Wet,2012,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,0.12,320
Typica,Mexico,Washed / Wet,2012,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,7.92,0.13,484
Other,Uganda,Washed / Wet,2012,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,0.11,800
Caturra,Peru,Washed / Wet,2012,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.92,0.0,604
Caturra,Ethiopia,Washed / Wet,2010,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,7.83,0.2,231
SL34,Kenya,Washed / Wet,2012,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,0.11,404
Other,Colombia,Washed / Wet,2016,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,0.0,170
Caturra,Colombia,Washed / Wet,2016,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,0.0,170
Peaberry,Kenya,Washed / Wet,2013,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,0.1,404
Pacas,Guatemala,Washed / Wet,2014,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,0.11,320
Bourbon,Guatemala,Washed / Wet,2014,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,0.09,320
Caturra,Colombia,Washed / Wet,2013,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,0.0,170
Caturra,Colombia,Washed / Wet,2013,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,0.0,170
SL28,Kenya,Washed / Wet,2013,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,0.0,404
Caturra,Colombia,Washed / Wet,2012,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,0.0,170
Bourbon,Costa Rica,Semi-washed / Semi-pulped,2012,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,0.12,188
Caturra,Colombia,Washed / Wet,2012,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,0.11,170
Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,0.12,076
Catuai,Brazil,Semi-washed / Semi-pulped,2011,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,0.11,076
Caturra,Costa Rica,Washed / Wet,2018,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,0.1,188
SL14,Uganda,Washed / Wet,2016,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,0.11,800
Catimor,China,Washed / Wet,2015,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,0.1,156
Caturra,Costa Rica,Washed / Wet,2014,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,0.11,188
Other,Colombia,Washed / Wet,2016,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,0.12,170
Other,China,Washed / Wet,2013,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,0.0,156
Bourbon,Guatemala,Washed / Wet,2013,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,0.11,320
SL28,Kenya,Washed / Wet,2012,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,0.11,404
Typica,Mexico,Washed / Wet,2012,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,0.12,484
Typica,Mexico,Washed / Wet,2012,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,0.11,484
Bourbon,Guatemala,Washed / Wet,2012,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,0.11,320
Caturra,Brazil,Washed / Wet,2012,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,0.0,076
Caturra,Brazil,Washed / Wet,TEST,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,0.0,076
Caturra,Costa Rica,Washed / Wet,2016,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,0.1,188
Mandheling,Indonesia,Other,2017,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,0.0,360
Caturra,Colombia,Natural / Dry,2016,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,0.0,170
Caturra,Colombia,Washed / Wet,2014,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,170
Pacamara,Mexico,Washed / Wet,2012,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,0.12,484
Caturra,Ethiopia,Washed / Wet,2010,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,0.2,231
SL28,Kenya,Washed / Wet,2018,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,0.11,404
Caturra,Honduras,Washed / Wet,2016,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,0.1,340
Caturra,Colombia,Washed / Wet,2016,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,0.0,170
Catuai,Honduras,Washed / Wet,2016,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,0.11,340
Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,170
Caturra,Colombia,Natural / Dry,2015,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,0.11,170
Caturra,Colombia,Washed / Wet,2013,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,0.0,170
Typica,Mexico,Washed / Wet,2012,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,0.12,484
Yellow Bourbon,Brazil,Washed / Wet,2011,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,0.0,076
Caturra,Brazil,Washed / Wet,2011,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,0.02,076
Caturra,Ethiopia,Washed / Wet,2012,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,0.0,231
Caturra,Guatemala,Washed / Wet,2009,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,0.04,320
Catimor,Thailand,Natural / Dry,2015,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,0.12,764
Caturra,Colombia,Natural / Dry,2016,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,0.11,170
Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,0.11,320
Caturra,Guatemala,Washed / Wet,2015,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,0.1,320
Catimor,China,Natural / Dry,2015,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.1,156
Caturra,Colombia,Washed / Wet,2015,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,0.11,170
Caturra,Colombia,Washed / Wet,2015,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,0.12,170
Other,Colombia,Washed / Wet,2016,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,0.12,170
Caturra,Colombia,Natural / Dry,2015,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,0.12,170
Bourbon,Guatemala,Other,2014,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,0.1,320
Caturra,Colombia,Washed / Wet,2013,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,0.11,170
Typica,Mexico,Semi-washed / Semi-pulped,2012,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,0.12,484
Bourbon,Mexico,Washed / Wet,2012,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,0.12,484
Bourbon,Mexico,Washed / Wet,2012,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,0.1,484
Other,Uganda,Natural / Dry,2012,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,0.13,800
Bourbon,Guatemala,Washed / Wet,2017,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,0.13,320
Caturra,Colombia,Washed / Wet,2016,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.75,0.0,170
Caturra,Costa Rica,Washed / Wet,2016,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,0.09,188
Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,0.11,320
Caturra,Guatemala,Washed / Wet,2016,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,0.1,320
Bourbon,Guatemala,Washed / Wet,2016,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,0.1,320
Caturra,Colombia,Washed / Wet,2015,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,0.0,170
Caturra,Nicaragua,Natural / Dry,2015,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,0.12,558
Catuai,Brazil,Natural / Dry,2015,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,0.0,076
Caturra,Costa Rica,Washed / Wet,2014,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,0.0,188
Gesha,Ethiopia,Natural / Dry,2014,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,0.1,231
Other,Colombia,Washed / Wet,2015,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,7.5,0.12,170
Caturra,Guatemala,Washed / Wet,2013,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.11,320
SL28,Kenya,Washed / Wet,2013,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,0.08,404
Mundo Novo,Brazil,Natural / Dry,2012,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,0.11,076
Bourbon,Guatemala,Washed / Wet,2013,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,0.11,320
Bourbon,El Salvador,Natural / Dry,2013,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,7.92,0.11,222
